course_code,name,num_students,prof
MATH402,Enumerative Combinatorics,86,Catherine Pfaff
MATH413,Introduction to Algebraic Geometry,22,Gregory G Smith
MATH429,Functional Analysis and Quantum Mechanics,66,Francesco Cellarosi
MATH472,Optimization and Control of Stochastic Systems,96,Serdar Yuksel
MATH474,Information Theory,28,Fady Alajaji
MICR121,Microbiology for Nursing Students,75,Prameet Sheth
MICR221,Fundamental Microbiology,83,Bruce Banfield
MICR271,Introduction to Microbiology,26,Christopher Lohans
MICR360,Immunology,96,Sameh Basta
MUSC104,Music Fundamentals,34,Cynthia Tormann
MUSC112,Medium Ensemble,28,Sarah Moon
MUSC121,Applied Study I,94,Sarah Moon
MUSC127,Ear Training and Sight Singing I,69,Cynthia Tormann
MUSC129,Keyboard Skills,31,Younggun Kim
MUSC156,"Introduction to Digital Audio Recording, Editing, and Mixing",45,Michael Lukaszuk
MUSC171,Social History of Popular Music,72,Robbie MacKay
MUSC191,Theory and Analysis I,87,Cecilia Livingston
MUSC200,Small Ensemble,98,Sarah Moon
MUSC221,Applied Study II,71,Sarah Moon
MUSC300,Small Ensemble,88,Kornel  Wolak
MUSC303,Critical Issues in Music,35,Colleen Renihan
MUSC318,Applied Music 3A,47,Ms. Dianne Baird
MUSC321,Applied Study III,55,Jeffrey Leung
MUSC370,Topics in Advanced Conducting,21,Dan Tremblay
MUSC392,Theory and Analysis III,33,Stephanie Lind
MUTH111,"Listening to Revolutions: History, Arts, and Performance ll",68,John Burge
NSCI323,Foundational Neuroscience,73,Eric Dumont
PATH120,Understanding Human Disease in the 21st Century,72,Cynthia Pruss
PHAR100,Introductory Pharmacology,63,Jeanne Mulder
PHAR480,Drug Discovery and Development,61,Terence Ozolins
PHIL111,What is Philosophy?,98,Jon Miller
PHIL115,Fundamental Questions,87,Omar Bachour
PHIL151,Great Works of Philosophy,70,Mark Smith
PHIL153,The State and the Citizen,77,Owen Clifton
PHIL157,Moral Issues,41,Rahul Kumar
PHIL203,Science and Society,42,Sergio Sismondo
PHIL247,Practical Ethics,50,Meena Krishnamurthy
PHIL250,Epistemology and Metaphysics,26,David Bakhurst
PHIL257,Ethics,74,Jon Miller
PHIL259,Critical Thinking,69,Nancy Salay
PHIL261,Philosophy of Mathematics,49,Joshua Mozersky
PHIL266,Introduction to Probability and Inductive Logic,21,Joshua Mozersky
PHIL270,Minds and Machines,84,Nancy Salay
PHIL273,"Continental Philosophy, 1800-1900",26,Paul Fairfield
PHIL275,"Thinking Gender, Sex, and Love",100,Jacqueline M Davies
PHIL276,Critical Perspective on Social Diversity,43,Lisa Guenther
PHIL301,Bioethics,70,Kerah Gordon-Solmon
PHIL316,Philosophy of Art,96,Deborah Knight
PHIL324,Africana Philosophy II,60,Jon Miller
PHIL343,Social and Political Philosophy,22,Kerah Gordon-Solmon
PHIL352,Metaphysics,64,Mark Smith
PHIL362,Further Studies in Logic,28,Adele Mercier
PHIL382,"Space-Time, Matter, and Reality",37,Joshua Mozersky
PHIL390,Philosophical Practice,44,Kerah Gordon-Solmon
PHIL405,Social and Political Philosophy II,26,Meena Krishnamurthy
PHYS104,Fundamental Physics,87,Ryan Martin
PHYS106,General Physics,66,Ryan Martin
PHYS115,Introduction to Physics I,60,Anne Topper
PHYS118,Basic Physics,32,Anne Topper
PHYS206,Dynamics,65,Sarah Sadavoy
PHYS212,Vibrations and Waves,100,Philippe Stefano
PHYS242,Relativity and Quanta,99,Marc Dignam
PHYS315,Physical Processes in Astrophysics,79,Judith A Irwin
PHYS316,Methods in Mathematical Physics I,22,Lawrence M Widrow
PHYS344,Introduction to Quantum Mechanics,69,Joseph Bramante
PHYS345,"Quantum Physics of Atoms, Nuclei, and Particles",39,Aaron Vincent
PHYS350,General Laboratory,51,Robert G Knobel
PHYS480,Solid State Physics,46,Nir Rotenberg
PHGY170,Human Cell Physiology,54,Cynthia Pruss
PHGY215,Principles of Mammalian Physiology l,34,Nicolle Domnik
